SID,NAME,BASIN
1981311N08119,UNNAMED,WP
1981317N14153,HAZEN,WP
1981317N31286,UNNAMED,
1981319N07163,IRMA,WP
1981321N13092,UNNAMED,NI
1981324N08158,JEFF,WP
1981335S16139,AMELIA,SP
1981337S11133,AMELIA,SI
1981339N11089,UNNAMED,NI
1981343N05150,KIT,WP
1981351S12060,BENEDICTE,SI
1981353S09172,GYAN,SP
1981354S12140,UNNAMED,SP
1981355N07149,LEE,WP
1981363S10079,CLARISSEE,SI
1982005S10105,CHRIS:DAMIA,SI
1982011S07094,DAPHNE:FIFI,SI
1982011S11141,BRUNO,SP
1982011S12119,ERROL,SI
1982022S26154,ABIGAIL,SP
1982024S18166,HETTIE,SP
1982027S16120,GRAHAM,SI
1982030S15065,ELECTRE,SI
1982031S20048,FRIDA,SI
1982035S13141,CORAL,SP
1982036S16060,GABRIELLE,SI
1982043S12073,HEBERTE,SI
1982043S12104,HARRIET,SI
1982054S13123,IAN,SI
1982054S23036,UNNAMED,SI
1982054S23052,ISABEAU,SI
1982058S10185,ISAAC,SP
1982073N07153,MAMIE,WP
1982075S11096,UNNAMED,SI
1982075S12055,JUSTINE,SI
1982077N04161,NELSON,WP
1982087N04157,ODESSA,WP
1982091S03159,BERNIE,SP
1982095S11138,DOMINIC,SP
1982113S06085,KARLA,SI
1982120N11083,UNNAMED,NI
1982131S09157,CLAUDIA,SP
1982136N08140,PAT,WP
1982140N11255,ALETTA,EP
1982150N13087,UNNAMED,NI
1982152N13264,UNNAMED,EP
1982154N22273,ALBERTO,
1982164N08237,UNNAMED,EP
1982167N13255,BUD,EP
1982168N13266,UNNAMED,EP
1982168N23090,UNNAMED,NI
1982169N09149,RUBY,WP
1982169N26274,UNNAMED,
1982176N18114,TESS:VAL,WP
1982179N19128,SKIP,WP
1982183N13253,CARLOTTA,EP
1982184N13225,UNNAMED,EP
1982186S06056,UNNAMED,SI
1982188N09262,DANIEL,EP
1982190N09148,WINONA,WP
1982194N10224,EMILIA,EP
1982195N12249,UNNAMED,EP
1982196N20069,UNNAMED,NI
1982197N11240,UNNAMED,EP
1982199N11257,FABIO,EP
1982199N18088,UNNAMED,NI
1982202N11165,BESS,WP
1982202N12148,ANDY,WP
1982207N09243,GILMA,EP
1982210N11245,HECTOR,EP
1982213N12253,IVA,EP
1982213N13145,CECIL,WP
1982214N23090,UNNAMED,NI
1982215N10236,JOHN,EP
1982220N08154,DOT,WP
1982221N10236,KRISTY,EP
1982221N10250,LANE,EP
1982224N20089,UNNAMED,NI
1982227N09140,FAYE,WP
1982229N09154,ELLIS,WP
1982230N21088,UNNAMED,NI
1982237N26080,UNNAMED,NI
1982238N10161,GORDON,WP
1982239N19089,UNNAMED,NI
1982241N14338,BERYL,
1982242N11191,AKONI,EP
1982242N13253,MIRIAM,EP
1982246N16119,HOPE,WP
1982247N11147,JUDY,WP
1982248N14133,IRVING,WP
1982249N17307,UNNAMED,
1982252N18089,UNNAMED,NI
1982252N26269,CHRIS,
1982253N10250,NORMAN,EP
1982254N14229,UNNAMED,EP
1982257N17140,KEN,WP
1982257N20172,LOLA,WP
1982257N20291,DEBBY,
1982259N15202,HANA,EP
1982259N16218,EMA,EP
1982261N20150,UNNAMED,WP
1982262N11258,OLIVIA,EP
1982262N12270,PAUL,EP
1982267N25289,UNNAMED,
1982272N11156,MAC,WP
1982272N22092,UNNAMED,NI
1982274N13071,UNNAMED,NI
1982274N13265,ROSA,EP
1982274N25295,ERNESTO,
1982283N17148,NANCY,WP
1982286N09170,OWEN,WP
1982286N17145,UNNAMED,WP
1982287N09269,SERGIO,EP
1982287N13091,UNNAMED,NI
1982287N22137,UNNAMED,WP
1982290N09084,UNNAMED,NI
1982293N09257,TARA,EP
1982300S09056,ARILISY,SI
1982304S10171,JOTI,SP
1982309N12066,UNNAMED,NI
1982311S09181,KINA,SP
1982324N10193,IWA,EP
1982325N08176,PAMELA,WP
1982332N07088,UNNAMED,NI
1982333N09067,UNNAMED,NI
1982334S09060,BEMANY,SI
1982337N08084,UNNAMED,NI
1982339N07139,ROGER,WP
1982344S09200,LISA,SP
1982353S13064,CLERA,SI
1982355S09060,DADAFY,SI
1983002S11112,JANE,SI
1983010S08049,ELINAH,SI
1983014S15143,DES,SP
1983019S14176,MARK,SP
1983022S10218,NANO,SP
1983037S18062,UNNAMED,SI
1983042S11158,ELINOR,SP
1983051S15214,NISHA:ORAMA,SP
1983054S15179,OSCAR,SP
1983056S11193,PREMA,SP
1983059S13127,KEN,SI
1983066S11213,REWA,SP
1983079S13224,SABA,SP
1983082S11180,SARAH,SP
1983082S15216,UNNAMED,SP
1983086S08204,TOMASI,SP
1983092S10125,LENA,SI
1983097S10224,VEENA,SP
1983105S09228,WILLIAM,SP
1983110S12080,NAOMI,SI
1983112S10096,MONTY,SI
1983141N07269,ADOLPH,EP
1983160N11266,BARBARA,EP
1983167N05145,SARAH,WP
1983171N20071,UNNAMED,NI
1983173S11056,FELY,SI
1983175N18087,UNNAMED,NI
1983183N11251,COSME,EP
1983186N04153,VERA,WP
1983187N12259,DALILIA,EP
1983188N06136,TIP,WP
1983192S05089,UNNAMED,SI
1983193N11256,ERICK,EP
1983198N18255,FLOSSIE,EP
1983201N08144,WAYNE,WP
1983205N10322,UNNAMED,
1983205N11265,GIL,EP
1983208N11265,HENRIETTE,EP
1983209N12333,UNNAMED,
1983212N06151,ABBY,WP
1983213N10199,UNNAMED,EP
1983216N23088,UNNAMED,NI
1983220N16111,CARMEN,WP
1983221N13254,ISMAEL,EP
1983223N23143,BEN,WP
1983227N15142,UNNAMED,WP
1983228N27270,ALICIA,
1983229N15140,DOM,WP
1983236N26284,BARRY,
1983237N11253,JULIETTE,EP
1983237N25128,UNNAMED,WP
1983239N10183,ELLEN,EP
1983243N11184,UNNAMED,EP
1983243N12259,KIKO,EP
1983249N15260,LORENA,EP
1983252N25083,UNNAMED,NI
1983254N30296,CHANTAL,
1983255N12261,MANUEL,EP
1983259N08161,FORREST,WP
1983264N15248,NARDA,EP
1983270N28287,DEAN,
